"","id","timestamp","x","y","ring_id","sex","sensor","tag_site","study_name","study_id"
"1293","De_Lange_Hoek",2019-10-03,-16.018,13.466,"Y6LRLB",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"2916","Grutte_Polder",2020-10-22,-16.015,13.472,"C1WWGG",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"2918","Grutte_Polder",2020-10-24,-15.999,13.477,"C1WWGG",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"4278","Leziria",2022-06-28,-15.93887,13.48782,"L3BRLY",NA,"Argos Doppler Shift","PT","Black-tailed Godwit Iberia - NL 2019",652989041
"5511","Sudermar",2019-10-22,-15.644,13.457,"B3RRBL",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"5952","Tsjerkefeart",2020-10-16,-15.802,13.488,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"5953","Tsjerkefeart",2020-10-18,-15.825,13.491,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"5956","Tsjerkefeart",2020-10-23,-15.83,13.488,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"5957","Tsjerkefeart",2020-10-24,-15.812,13.483,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"5958","Tsjerkefeart",2020-10-27,-15.881,13.499,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"5959","Tsjerkefeart",2020-10-28,-15.892,13.504,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"5960","Tsjerkefeart",2020-10-30,-15.802,13.5,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"5962","Tsjerkefeart",2020-10-31,-15.814,13.485,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"5963","Tsjerkefeart",2020-11-03,-15.817,13.484,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"5964","Tsjerkefeart",2020-11-04,-15.839,13.485,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"5965","Tsjerkefeart",2020-11-06,-15.921,13.497,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"6097","Tsjerkefeart",2021-10-15,-15.794,13.485,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"6098","Tsjerkefeart",2021-10-16,-15.852,13.488,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"6100","Tsjerkefeart",2021-10-19,-15.804,13.504,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"6101","Tsjerkefeart",2021-10-20,-15.812,13.487,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
"6102","Tsjerkefeart",2021-10-21,-15.815,13.483,"C2WGWW",NA,"Argos Doppler Shift","NL","Black-tailed Godwit Iberia - NL 2019",652989041
