event-id,visible,timestamp,location-long,location-lat,gps:activity-count,external-temperature,gps:hdop,gps:satellite-count,gps:vdop,ground-speed,heading,height-above-msl,import-marked-outlier,location-error-text,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
38183185984,true,2025-02-24 00:00:53.000,-8.78517,38.41001,,18.6,0.7,11,0.8,0.0,59.0,10.0,false,"<=5m",3947.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38183185985,true,2025-02-24 04:00:38.000,-8.78615,38.41134,,21.51,2.2,5,0.8,0.0,307.0,15.0,false,"<=10m",3940.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237117,true,2025-02-24 10:00:52.000,-8.7897,38.40333,,30.07,0.9,8,0.8,0.0,164.0,12.0,false,"<=5m",3882.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237118,true,2025-02-24 16:00:52.000,-8.79018,38.40237,,23.64,0.9,8,0.8,0.0,5.0,112.0,false,"<=5m",3936.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237119,true,2025-02-24 20:00:30.000,-8.78433,38.41834,,22.3,1.0,7,0.8,0.0,42.0,83.0,false,"<=5m",3937.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237120,true,2025-02-24 22:00:32.000,-8.78553,38.41069,,18.48,1.4,6,0.9,0.0,255.0,13.0,false,"<=5m",3934.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237121,true,2025-02-25 00:00:28.000,-8.78555,38.41061,,20.85,0.8,8,0.8,0.0,10.0,10.0,false,"<=5m",3933.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237122,true,2025-02-25 04:00:53.000,-8.78215,38.40991,,18.51,0.7,13,0.7,0.0,228.0,7.0,false,"<=5m",3925.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237123,true,2025-02-25 08:01:00.000,-8.78863,38.40039,,21.25,0.6,14,0.6,0.0,335.0,21.0,false,"<=5m",3918.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237124,true,2025-02-25 10:00:33.000,-8.7879,38.40102,,28.26,1.5,6,0.8,0.0,355.0,46.0,false,"<=5m",3924.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237125,true,2025-02-25 12:00:52.000,-8.78895,38.40071,,35.57,0.7,14,0.6,0.0,127.0,23.0,false,"<=5m",3950.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237126,true,2025-02-25 16:00:30.000,-8.78893,38.40077,,31.04,1.0,7,0.9,0.0,245.0,47.0,false,"<=5m",3999.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237127,true,2025-02-25 20:00:31.000,-8.78581,38.41097,,15.85,0.9,8,0.8,0.0,355.0,20.0,false,"<=5m",4008.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237128,true,2025-02-25 22:00:51.000,-8.79582,38.42569,,18.41,0.7,14,0.7,0.0,174.0,20.0,false,"<=5m",4002.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237129,true,2025-02-26 00:00:28.000,-8.79545,38.42685,,17.71,0.8,9,0.8,0.0,86.0,23.0,false,"<=5m",3995.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38311237130,true,2025-02-26 04:00:30.000,-8.79351,38.42398,,16.23,1.0,9,0.7,0.0,157.0,36.0,false,"<=5m",3990.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38319991021,true,2025-02-26 08:00:30.000,-8.78861,38.40084,,18.89,0.8,9,0.7,0.0,209.0,10.0,false,"<=5m",3987.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38319991022,true,2025-02-26 10:00:32.000,-8.78914,38.40115,,26.62,1.2,7,0.8,0.0,173.0,7.0,false,"<=5m",3990.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38319991023,true,2025-02-26 12:00:52.000,-8.78874,38.40129,,26.2,0.6,15,0.7,0.0,204.0,18.0,false,"<=5m",4014.9999999999995,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38319991024,true,2025-02-26 16:00:30.000,-8.78835,38.40085,,26.06,0.9,8,0.8,0.0,286.0,55.0,false,"<=5m",4046.0000000000005,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38319991025,true,2025-02-26 20:00:54.000,-8.78572,38.41767,,23.03,0.8,10,0.7,0.0,48.0,32.0,false,"<=5m",4045.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38319991026,true,2025-02-26 22:00:32.000,-8.79342,38.42368,,24.1,1.6,5,0.8,0.5555555555555556,331.0,20.0,false,"<=5m",4038.9999999999995,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38319991027,true,2025-02-27 00:00:53.000,-8.79375,38.42362,,21.66,0.7,12,0.8,0.0,44.0,113.0,false,"<=5m",3922.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
38319991028,true,2025-02-27 04:00:38.000,-8.79414,38.42431,,23.25,0.9,7,0.8,0.0,23.0,6.0,false,"<=5m",3916.0,"gps","Limosa limosa","036408955","Wolvetinte","Teampiersma HQXS 2024"
